epoch,delta_time,cost,error_rate
1,49.1859951019,81.9011703742,0.0709
2,48.7334208488,73.0059482377,0.063
3,50.710185051,70.6724255205,0.0568
4,46.8781909943,69.5820844289,0.052
5,46.8987560272,68.8872945152,0.0493
6,46.9567480087,68.4846260606,0.0465
7,47.0206341743,68.1687035634,0.0441
8,47.515763998,67.9844440642,0.0428
9,46.9722878933,67.7845580965,0.0416
10,46.9169249535,67.6383191111,0.0418
11,46.7669758797,67.5415210728,0.0391
12,46.7710950375,67.409431338,0.0388
13,46.730989933,67.3455087501,0.0378
14,46.9780921936,67.2589826084,0.0365
15,46.8563148975,67.2116800492,0.0366
16,46.9367289543,67.1442933011,0.0355
17,46.6923110485,67.11167291,0.0347
18,46.733453989,67.0982359141,0.0356
19,46.9373140335,67.0425888847,0.0339
20,46.6731739044,67.0194567885,0.0344
21,48.1596181393,66.9798255301,0.0344
22,49.7256419659,66.9335113616,0.0341
23,46.8544459343,66.902956677,0.0336
24,46.8885579109,66.8511071123,0.0334
25,46.8917660713,66.8535185051,0.0318
26,47.2800710201,66.8443294532,0.0319
27,49.8727009296,66.7969214259,0.0334
28,48.1585719585,66.7854286946,0.0315
29,47.2669360638,66.7816528974,0.0318
30,47.8622179031,66.7434466049,0.0335
31,47.2332949638,66.7267564484,0.0313
32,48.3972170353,66.7268281939,0.0306
33,47.619852066,66.714985198,0.0302
34,46.9287669659,66.7295504944,0.0302
35,48.6362860203,66.7025010666,0.0314
36,47.3889420033,66.7031435615,0.0303
37,48.088187933,66.6782667169,0.0305
38,47.8551530838,66.6676478467,0.0308
39,48.2549431324,66.6330131624,0.0303
40,49.2462079525,66.6416190737,0.0301
41,47.9387419224,66.6108985998,0.0302
42,47.6795120239,66.6075767796,0.029
43,47.675121069,66.5849135013,0.0297
44,47.5464110374,66.5895448169,0.0297
45,47.6230251789,66.5671684733,0.0295
46,47.5422668457,66.6258664222,0.0296
47,47.7726681232,66.5833114392,0.0295
48,47.1931080818,66.5890600892,0.0291
49,47.1429619789,66.5928083024,0.0281
50,47.2335019112,66.5606671772,0.0293
51,47.0944609642,66.5776135052,0.0282
52,47.1525490284,66.5638899618,0.0298
53,46.8943810463,66.5404849085,0.0289
54,46.9574038982,66.5393377652,0.0295
55,46.9813079834,66.5351593537,0.0291
56,47.6561460495,66.5366480105,0.0279
57,47.7518570423,66.5268817319,0.0282
58,47.820674181,66.5041502042,0.0284
59,47.8086819649,66.5092144698,0.0289
60,47.8221590519,66.4817408545,0.0276
61,48.873980999,66.4991798828,0.0282
62,46.9240579605,66.5036214038,0.0285
63,47.1497459412,66.4668353544,0.0294
64,47.0899939537,66.4976528493,0.0283
65,47.1712710857,66.471257766,0.0282
66,47.0647308826,66.4931365577,0.0287
67,47.061314106,66.4751366247,0.0282
68,46.8524358273,66.4860537895,0.0288
69,47.0746469498,66.4683713466,0.0286
70,46.9885430336,66.4612455971,0.0295
71,46.8971979618,66.4571975563,0.0283
72,47.0501980782,66.4659654465,0.0275
73,47.2058849335,66.4516255002,0.0285
74,47.136893034,66.4534466191,0.0276
75,46.9968950748,66.4308409009,0.0285
76,47.3405828476,66.4187149353,0.0282
77,47.3656489849,66.4056765528,0.0282
78,47.2952661514,66.4339163633,0.0269
79,47.0449559689,66.4294387453,0.028
80,46.8899948597,66.3921877596,0.0285
81,47.0999979973,66.4090867449,0.0273
82,46.6032631397,66.4278332502,0.0275
83,46.668571949,66.4062426357,0.0283
84,46.7502241135,66.4074436338,0.0272
85,46.8879978657,66.3871928708,0.0286
86,46.6351680756,66.4045471335,0.0284
87,46.9898169041,66.4105519217,0.0293
88,47.0981850624,66.4140795324,0.0284
89,47.3780620098,66.3945014242,0.0288
90,46.818666935,66.3783254619,0.027
91,46.6056580544,66.3934341167,0.0281
92,46.8097610474,66.4170324304,0.0283
93,46.7007260323,66.3611206859,0.0286
94,46.6656029224,66.3659458905,0.0285
95,47.0714740753,66.3740792989,0.0275
96,46.797385931,66.4003598401,0.0287
97,47.2673330307,66.369752516,0.0283
98,46.7915799618,66.3529146535,0.0279
99,46.8512609005,66.3406809676,0.0278
100,47.2121548653,66.3808981412,0.028
