epoch,delta_time,cost,error_rate
1,75.5080080032,82.5756662064,0.0964
2,74.9046640396,73.9955142864,0.0801
3,76.4137821198,71.9076206437,0.0732
4,77.1236989498,70.8836939274,0.0648
5,95.5735449791,70.2943710214,0.0653
6,107.977905035,69.9077722781,0.0593
7,103.92283392,69.6260551146,0.0541
8,105.222094059,69.4468046278,0.0564
9,108.476370096,69.3155344498,0.0567
10,79.9296720028,69.2010584157,0.054
11,79.150042057,69.0946495255,0.0501
12,74.4649169445,69.0022159531,0.0525
13,72.7815608978,68.9694102276,0.0511
14,76.2257561684,68.9253982014,0.0505
15,77.8709158897,68.8434059261,0.0507
16,76.32695508,68.7984109162,0.0494
17,75.1284358501,68.7443529944,0.048
18,84.3442299366,68.7247353814,0.0481
19,81.9668121338,68.7252374577,0.0488
20,77.5312728882,68.6806426576,0.0489
21,79.890542984,68.6382873151,0.0446
22,73.1524660587,68.6266125868,0.0478
23,77.5719070435,68.5935496236,0.0473
24,85.7056009769,68.6136132783,0.046
25,89.6361398697,68.5599865022,0.0439
26,117.487178087,68.5372974862,0.0448
27,120.721094847,68.5194097341,0.0439
28,103.854278088,68.5336077336,0.0434
29,104.944301128,68.4909492115,0.0458
30,105.19895792,68.5180780217,0.0426
31,103.205709934,68.478411937,0.0431
32,104.035923004,68.474618756,0.0429
33,105.199197054,68.4703045877,0.0445
