epoch,delta_time,cost,error_rate
1,86.1047120094,82.6302627573,0.0682
2,87.0924499035,74.0255494989,0.0607
3,87.0937960148,71.9896558622,0.0552
4,86.7252149582,70.9240309983,0.0497
5,87.3551640511,70.3295811265,0.0479
6,87.4685850143,69.9249815234,0.0459
7,87.3081400394,69.6947839679,0.0456
8,86.7787070274,69.4849066763,0.0443
9,87.5616071224,69.3331005577,0.0419
10,88.2848098278,69.2327403658,0.0416
11,87.053592205,69.1254456077,0.0414
12,87.5688700676,69.0462862074,0.0388
13,87.7017960548,68.9796029619,0.0395
14,86.4847888947,68.9332415537,0.0399
15,86.9419300556,68.8487755851,0.0376
16,87.6763799191,68.8160468201,0.0374
17,87.5058190823,68.8007721738,0.0378
18,86.6839239597,68.78807143,0.0369
19,87.3252358437,68.7183697159,0.0358
20,86.680254221,68.719726745,0.0354
21,86.8083639145,68.6870725753,0.0348
22,87.378123045,68.6382999685,0.0346
23,86.8926889896,68.6231955108,0.0345
24,86.7499568462,68.608890556,0.0341
25,86.4846000671,68.607225875,0.0346
26,86.9102129936,68.5857572448,0.0346
27,86.8801290989,68.5432747245,0.0336
28,86.6701881886,68.5127839695,0.0332
29,86.8333559036,68.5671673152,0.0319
30,87.2277009487,68.5148774632,0.0337
31,86.5481929779,68.4995015604,0.0324
32,86.7048101425,68.4965577064,0.0326
33,87.2552938461,68.4651093445,0.0326
34,87.100892067,68.4842490578,0.0325
35,86.4436709881,68.453807002,0.0316
36,105.253202915,68.4539811152,0.0318
37,112.207490206,68.4248028103,0.0328
38,115.653650999,68.3972325648,0.0321
39,112.077107191,68.43552638,0.0317
40,112.020981789,68.4308168119,0.0311
41,112.544521093,68.3732110269,0.0314
42,112.45678997,68.3959883059,0.0315
43,113.727288961,68.3354571344,0.0321
44,115.654901981,68.3618021484,0.0316
45,112.079454899,68.3398562994,0.0311
46,111.790195942,68.3748438575,0.0315
47,112.107613087,68.3704269404,0.0308
48,111.975955009,68.3714131318,0.0307
49,112.058904886,68.3538623321,0.0306
50,111.973959923,68.3535338797,0.0311
51,112.948822975,68.3412719784,0.0307
52,112.292366028,68.3071431,0.0304
53,112.171530962,68.3101053396,0.0309
54,111.850780964,68.3251909315,0.0312
55,111.930228949,68.2799011533,0.0297
56,112.187090158,68.288317239,0.0294
57,112.030802011,68.2747489227,0.0309
58,112.045238972,68.3001465462,0.0298
59,111.869015932,68.2971612975,0.0297
60,111.99503684,68.2683281573,0.0299
61,111.814630985,68.2701577009,0.0308
62,113.191909075,68.2846328761,0.0311
63,111.998278141,68.3001704908,0.0306
64,112.176911831,68.2992232525,0.0295
65,112.219393015,68.2804607389,0.0291
66,112.280850887,68.2774035328,0.0304
67,112.901865005,68.2502520892,0.0301
68,112.154070139,68.2550007076,0.0309
69,112.799166918,68.2389578763,0.0301
70,116.835963011,68.2610692224,0.0291
71,115.088871956,68.2268101391,0.03
72,112.693001986,68.219359724,0.0296
73,112.226712942,68.2232583661,0.0302
74,112.097073078,68.222991634,0.0296
75,112.262851,68.2225202889,0.0303
76,112.027301788,68.2252033751,0.0299
77,112.110851049,68.2205800602,0.0297
78,112.09136796,68.212254335,0.0307
79,112.046194077,68.2391484413,0.03
80,112.229788065,68.1940706421,0.0303
81,100.145040035,68.2296500241,0.0301
82,87.7836821079,68.2043866773,0.0304
83,92.3811938763,68.2213216254,0.0288
84,106.553296089,68.1994939516,0.0306
85,94.5440480709,68.1883861091,0.0298
86,86.5587759018,68.1827547393,0.0295
87,86.4527161121,68.1932294853,0.0314
88,86.4337279797,68.1612651379,0.0304
89,86.4476559162,68.2021462469,0.0312
90,86.5963058472,68.1724828918,0.0301
91,86.4478440285,68.1572307143,0.0293
92,86.4559190273,68.2031518023,0.0304
93,86.4688220024,68.1947657669,0.0306
94,86.4709351063,68.1350990194,0.0299
95,86.8530488014,68.1849719238,0.0302
96,1142.32342911,68.1885149745,0.0299
97,86.4223179817,68.154815037,0.0295
98,87.9160699844,68.1530766761,0.0294
99,216.602530956,68.1554535599,0.0304
100,85.9188821316,68.1317102227,0.0305
