denoising autoencoder, full feedback
epochs = 50
hiddens = 1200
learning_rate = 0.100000
corruption = 0.300000
epoch, cost, error_rate, time
(0, 80.41444767694621, 0.0836, 63.3883330821991)
(1, 72.264822801899911, 0.0709, 126.84013795852661)
(2, 69.817368437235871, 0.0602, 190.25462293624878)
(3, 68.376011319773951, 0.0586, 253.5300600528717)
(4, 67.49938599278137, 0.0515, 316.940083026886)
(5, 66.86123283826096, 0.0494, 380.4262969493866)
(6, 66.389741771198246, 0.0486, 443.5180640220642)
(7, 65.999661708612436, 0.0477, 506.8939559459686)
(8, 65.68867627625427, 0.0456, 570.3143980503082)
(9, 65.40480989852982, 0.0424, 633.7476868629456)
(10, 65.252165557913145, 0.0425, 697.4093499183655)
(11, 65.059490011780795, 0.043, 760.7277400493622)
(12, 64.872421668350668, 0.0393, 824.1837730407715)
(13, 64.740422120541425, 0.041, 887.4430890083313)
(14, 64.619845023260098, 0.0391, 950.9448509216309)
(15, 64.488167521960364, 0.0393, 1014.4457919597626)
(16, 64.38892883981741, 0.036, 1077.9185528755188)
(17, 64.294852063324413, 0.0374, 1141.272703886032)
(18, 64.218669314885801, 0.0377, 1204.5128710269928)
(19, 64.140798997046957, 0.0351, 1267.7869138717651)
(20, 64.064755516652781, 0.0359, 1331.212054014206)
(21, 64.032426613676321, 0.0359, 1394.824786901474)
(22, 63.912987032669214, 0.0366, 1458.2793989181519)
(23, 63.887891328568024, 0.0363, 1521.930279970169)
(24, 63.828067927384282, 0.0351, 1585.2276480197906)
(25, 63.781850725005626, 0.0344, 1648.6315989494324)
(26, 63.736407596878905, 0.0346, 1711.8148310184479)
(27, 63.682136191472665, 0.0341, 1775.283844947815)
(28, 63.650778358474092, 0.0334, 1838.6845390796661)
(29, 63.624502487957294, 0.035, 1902.2571070194244)
(30, 63.586346573058037, 0.0344, 1965.7004430294037)
(31, 63.52282985369294, 0.0312, 2029.127711057663)
(32, 63.491089912120181, 0.0318, 2092.679902076721)
(33, 63.473119568504835, 0.0312, 2156.049197912216)
(34, 63.457418809255209, 0.0314, 2219.2683918476105)
(35, 63.393408740610781, 0.0335, 2282.5466570854187)
(36, 63.333494985097545, 0.0332, 2346.1490499973297)
(37, 63.330633946298832, 0.0322, 2409.6799359321594)
(38, 63.297952998378847, 0.0298, 2472.989047050476)
(39, 63.257766994459622, 0.0311, 2536.3533499240875)
(40, 63.279816578184537, 0.0324, 2599.561017036438)
(41, 63.249416408238339, 0.0307, 2663.0568029880524)
(42, 63.202567495641588, 0.0314, 2726.472326040268)
(43, 63.203058561393469, 0.0301, 2789.869642972946)
(44, 63.176374658169216, 0.0308, 2853.0467240810394)
(45, 63.173048199446058, 0.0285, 2916.4450380802155)
(46, 63.110441541389896, 0.0309, 2979.761034011841)
(47, 63.095596001354139, 0.0312, 3043.2449309825897)
(48, 63.068370470234626, 0.0305, 3106.6765620708466)
(49, 63.069704729977282, 0.0306, 3170.0831780433655)
done.
